,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line0,n119941.1.2.3,n119942.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.02268,415v_185cu4_p_l_*_3,line0,400.0,1,0,3,0.822,0.907,0.01805,100.0,"[0.8786666666666667, -0.028333333333333356, -0.028333333333333356, -0.028333333333333356, 0.8786666666666667, -0.028333333333333356, -0.028333333333333356, -0.028333333333333356, 0.8786666666666667]",,3,3,0.081,0.082,0.155081,"[0.08166666666666667, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.08166666666666667, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.08166666666666667]","[49.47617838762944, -5.355125710388184, 1.4290015416038957, -0.14251027306854483, 1.429001541603896, -0.14251027306854486, -49.47617838762944, 5.355125710388184, -1.4290015416038957, 0.14251027306854483, -1.429001541603896, 0.14251027306854486, 1.4290015416038957, -0.14251027306854483, 49.47617838762944, -5.355125710388185, 1.4290015416038961, -0.14251027306854488, -1.4290015416038957, 0.14251027306854483, -49.47617838762944, 5.355125710388185, -1.4290015416038961, 0.14251027306854488, 1.429001541603896, -0.14251027306854486, 1.4290015416038961, -0.14251027306854488, 49.476178387629446, -5.355125710388185, -1.429001541603896, 0.14251027306854486, -1.4290015416038961, 0.14251027306854488, -49.476178387629446, 5.355125710388185, -49.47617838762944, 5.355125710388184, -1.4290015416038957, 0.14251027306854483, -1.429001541603896, 0.14251027306854486, 49.47617838762944, -5.355125710388184, 1.4290015416038957, -0.14251027306854483, 1.429001541603896, -0.14251027306854486, -1.4290015416038957, 0.14251027306854483, -49.47617838762944, 5.355125710388185, -1.4290015416038961, 0.14251027306854488, 1.4290015416038957, -0.14251027306854483, 49.47617838762944, -5.355125710388185, 1.4290015416038961, -0.14251027306854488, -1.429001541603896, 0.14251027306854486, -1.4290015416038961, 0.14251027306854488, -49.476178387629446, 5.355125710388185, 1.429001541603896, -0.14251027306854486, 1.4290015416038961, -0.14251027306854488, 49.476178387629446, -5.355125710388185]",1,False,400.0
line1,n119942.1.2.3,n119943.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.040369999999999996,415v_185cu4_p_l_*_3,line1,400.0,1,2,3,0.822,0.907,0.01805,100.0,"[0.8786666666666667, -0.028333333333333356, -0.028333333333333356, -0.028333333333333356, 0.8786666666666667, -0.028333333333333356, -0.028333333333333356, -0.028333333333333356, 0.8786666666666667]",,3,3,0.081,0.082,0.155081,"[0.08166666666666667, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.08166666666666667, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.08166666666666667]","[49.47617838762944, -5.355125710388184, 1.4290015416038957, -0.14251027306854483, 1.429001541603896, -0.14251027306854486, -49.47617838762944, 5.355125710388184, -1.4290015416038957, 0.14251027306854483, -1.429001541603896, 0.14251027306854486, 1.4290015416038957, -0.14251027306854483, 49.47617838762944, -5.355125710388185, 1.4290015416038961, -0.14251027306854488, -1.4290015416038957, 0.14251027306854483, -49.47617838762944, 5.355125710388185, -1.4290015416038961, 0.14251027306854488, 1.429001541603896, -0.14251027306854486, 1.4290015416038961, -0.14251027306854488, 49.476178387629446, -5.355125710388185, -1.429001541603896, 0.14251027306854486, -1.4290015416038961, 0.14251027306854488, -49.476178387629446, 5.355125710388185, -49.47617838762944, 5.355125710388184, -1.4290015416038957, 0.14251027306854483, -1.429001541603896, 0.14251027306854486, 49.47617838762944, -5.355125710388184, 1.4290015416038957, -0.14251027306854483, 1.429001541603896, -0.14251027306854486, -1.4290015416038957, 0.14251027306854483, -49.47617838762944, 5.355125710388185, -1.4290015416038961, 0.14251027306854488, 1.4290015416038957, -0.14251027306854483, 49.47617838762944, -5.355125710388185, 1.4290015416038961, -0.14251027306854488, -1.429001541603896, 0.14251027306854486, -1.4290015416038961, 0.14251027306854488, -49.476178387629446, 5.355125710388185, 1.429001541603896, -0.14251027306854486, 1.4290015416038961, -0.14251027306854488, 49.476178387629446, -5.355125710388185]",2,False,400.0
line10,n119949.1.2.3,n119950.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.044360000000000004,415v_185cu4_p_l_*_3,line10,400.0,0,3,3,0.822,0.907,0.01805,100.0,"[0.8786666666666667, -0.028333333333333356, -0.028333333333333356, -0.028333333333333356, 0.8786666666666667, -0.028333333333333356, -0.028333333333333356, -0.028333333333333356, 0.8786666666666667]",,1,3,0.081,0.082,0.155081,"[0.08166666666666667, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.08166666666666667, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.08166666666666667]","[35.30899074359457, -3.821719669968659, 1.0198160781490355, -0.10170336668327866, 1.0198160781490355, -0.10170336668327865, -35.30899074359457, 3.821719669968659, -1.0198160781490355, 0.10170336668327866, -1.0198160781490355, 0.10170336668327865, 1.0198160781490355, -0.10170336668327866, 35.30899074359457, -3.8217196699686595, 1.0198160781490357, -0.10170336668327869, -1.0198160781490355, 0.10170336668327866, -35.30899074359457, 3.8217196699686595, -1.0198160781490357, 0.10170336668327869, 1.0198160781490355, -0.10170336668327865, 1.0198160781490357, -0.10170336668327869, 35.30899074359458, -3.821719669968659, -1.0198160781490355, 0.10170336668327865, -1.0198160781490357, 0.10170336668327869, -35.30899074359458, 3.821719669968659, -35.30899074359457, 3.821719669968659, -1.0198160781490355, 0.10170336668327866, -1.0198160781490355, 0.10170336668327865, 35.30899074359457, -3.821719669968659, 1.0198160781490355, -0.10170336668327866, 1.0198160781490355, -0.10170336668327865, -1.0198160781490355, 0.10170336668327866, -35.30899074359457, 3.8217196699686595, -1.0198160781490357, 0.10170336668327869, 1.0198160781490355, -0.10170336668327866, 35.30899074359457, -3.8217196699686595, 1.0198160781490357, -0.10170336668327869, -1.0198160781490355, 0.10170336668327865, -1.0198160781490357, 0.10170336668327869, -35.30899074359458, 3.821719669968659, 1.0198160781490355, -0.10170336668327865, 1.0198160781490357, -0.10170336668327869, 35.30899074359458, -3.821719669968659]",3,False,400.0
line11,n119950.1.2.3,n599943.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.04036,415v_185cu4_p_l_*_3,line11,400.0,1,4,3,0.822,0.907,0.01805,100.0,"[0.8786666666666667, -0.028333333333333356, -0.028333333333333356, -0.028333333333333356, 0.8786666666666667, -0.028333333333333356, -0.028333333333333356, -0.028333333333333356, 0.8786666666666667]",,1,3,0.081,0.082,0.155081,"[0.08166666666666667, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.08166666666666667, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.08166666666666667]","[25.29575576716492, -2.73792270314707, 0.7306076411987458, -0.07286142906209642, 0.7306076411987459, -0.07286142906209643, -25.29575576716492, 2.73792270314707, -0.7306076411987458, 0.07286142906209642, -0.7306076411987459, 0.07286142906209643, 0.7306076411987458, -0.07286142906209642, 25.295755767164916, -2.7379227031470696, 0.7306076411987458, -0.07286142906209642, -0.7306076411987458, 0.07286142906209642, -25.295755767164916, 2.7379227031470696, -0.7306076411987458, 0.07286142906209642, 0.7306076411987459, -0.07286142906209643, 0.7306076411987458, -0.07286142906209642, 25.295755767164916, -2.7379227031470696, -0.7306076411987459, 0.07286142906209643, -0.7306076411987458, 0.07286142906209642, -25.295755767164916, 2.7379227031470696, -25.29575576716492, 2.73792270314707, -0.7306076411987458, 0.07286142906209642, -0.7306076411987459, 0.07286142906209643, 25.29575576716492, -2.73792270314707, 0.7306076411987458, -0.07286142906209642, 0.7306076411987459, -0.07286142906209643, -0.7306076411987458, 0.07286142906209642, -25.295755767164916, 2.7379227031470696, -0.7306076411987458, 0.07286142906209642, 0.7306076411987458, -0.07286142906209642, 25.295755767164916, -2.7379227031470696, 0.7306076411987458, -0.07286142906209642, -0.7306076411987459, 0.07286142906209643, -0.7306076411987458, 0.07286142906209642, -25.295755767164916, 2.7379227031470696, 0.7306076411987459, -0.07286142906209643, 0.7306076411987458, -0.07286142906209642, 25.295755767164916, -2.7379227031470696]",4,False,400.0
line12,n119948.1.2.3,n119951.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.03836,240al_3,line12,400.0,0,5,3,0.096,0.096,0.01805,100.0,"[0.096, 0.0, 0.0, 0.0, 0.096, 0.0, 0.0, 0.0, 0.096]",,0,3,0.074,0.073,0.155081,"[0.07333333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.07333333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.07333333333333332]","[98.06344623719792, -84.41101032217924, 1.365294555645578, 3.826053087237266, 1.3652945556455776, 3.826053087237266, -98.06344623719792, 84.41101032217924, -1.365294555645578, -3.826053087237266, -1.3652945556455776, -3.826053087237266, 1.365294555645578, 3.826053087237266, 98.06344623719792, -84.41101032217924, 1.365294555645578, 3.8260530872372662, -1.365294555645578, -3.826053087237266, -98.06344623719792, 84.41101032217924, -1.365294555645578, -3.8260530872372662, 1.3652945556455776, 3.826053087237266, 1.365294555645578, 3.8260530872372662, 98.06344623719794, -84.41101032217922, -1.3652945556455776, -3.826053087237266, -1.365294555645578, -3.8260530872372662, -98.06344623719794, 84.41101032217922, -98.06344623719792, 84.41101032217924, -1.365294555645578, -3.826053087237266, -1.3652945556455776, -3.826053087237266, 98.06344623719792, -84.41101032217924, 1.365294555645578, 3.826053087237266, 1.3652945556455776, 3.826053087237266, -1.365294555645578, -3.826053087237266, -98.06344623719792, 84.41101032217924, -1.365294555645578, -3.8260530872372662, 1.365294555645578, 3.826053087237266, 98.06344623719792, -84.41101032217924, 1.365294555645578, 3.8260530872372662, -1.3652945556455776, -3.826053087237266, -1.365294555645578, -3.8260530872372662, -98.06344623719794, 84.41101032217922, 1.3652945556455776, 3.826053087237266, 1.365294555645578, 3.8260530872372662, 98.06344623719794, -84.41101032217922]",5,False,400.0
line13,n119951.1.2.3,n599944.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.001,240al_3,line13,400.0,0,6,3,0.096,0.096,0.01805,100.0,"[0.096, 0.0, 0.0, 0.0, 0.096, 0.0, 0.0, 0.0, 0.096]",,0,3,0.074,0.073,0.155081,"[0.07333333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.07333333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.07333333333333332]","[150.26510348859475, -129.34512999837582, 2.0920754426706747, 5.862758093529888, 2.092075442670675, 5.862758093529888, -150.26510348859475, 129.34512999837582, -2.0920754426706747, -5.862758093529888, -2.092075442670675, -5.862758093529888, 2.0920754426706747, 5.862758093529888, 150.26510348859472, -129.3451299983758, 2.092075442670675, 5.862758093529888, -2.0920754426706747, -5.862758093529888, -150.26510348859472, 129.3451299983758, -2.092075442670675, -5.862758093529888, 2.092075442670675, 5.862758093529888, 2.092075442670675, 5.862758093529888, 150.26510348859475, -129.3451299983758, -2.092075442670675, -5.862758093529888, -2.092075442670675, -5.862758093529888, -150.26510348859475, 129.3451299983758, -150.26510348859475, 129.34512999837582, -2.0920754426706747, -5.862758093529888, -2.092075442670675, -5.862758093529888, 150.26510348859475, -129.34512999837582, 2.0920754426706747, 5.862758093529888, 2.092075442670675, 5.862758093529888, -2.0920754426706747, -5.862758093529888, -150.26510348859472, 129.3451299983758, -2.092075442670675, -5.862758093529888, 2.0920754426706747, 5.862758093529888, 150.26510348859472, -129.3451299983758, 2.092075442670675, 5.862758093529888, -2.092075442670675, -5.862758093529888, -2.092075442670675, -5.862758093529888, -150.26510348859475, 129.3451299983758, 2.092075442670675, 5.862758093529888, 2.092075442670675, 5.862758093529888, 150.26510348859475, -129.3451299983758]",6,False,400.0
line14,n119951.1.2.3,n599945.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.032909999999999995,240al_3,line14,400.0,0,7,3,0.096,0.096,0.01805,100.0,"[0.096, 0.0, 0.0, 0.0, 0.096, 0.0, 0.0, 0.0, 0.096]",,0,3,0.074,0.073,0.155081,"[0.07333333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.07333333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.07333333333333332]","[150.26510348859475, -129.34512999837582, 2.0920754426706747, 5.862758093529888, 2.092075442670675, 5.862758093529888, -150.26510348859475, 129.34512999837582, -2.0920754426706747, -5.862758093529888, -2.092075442670675, -5.862758093529888, 2.0920754426706747, 5.862758093529888, 150.26510348859472, -129.3451299983758, 2.092075442670675, 5.862758093529888, -2.0920754426706747, -5.862758093529888, -150.26510348859472, 129.3451299983758, -2.092075442670675, -5.862758093529888, 2.092075442670675, 5.862758093529888, 2.092075442670675, 5.862758093529888, 150.26510348859475, -129.3451299983758, -2.092075442670675, -5.862758093529888, -2.092075442670675, -5.862758093529888, -150.26510348859475, 129.3451299983758, -150.26510348859475, 129.34512999837582, -2.0920754426706747, -5.862758093529888, -2.092075442670675, -5.862758093529888, 150.26510348859475, -129.34512999837582, 2.0920754426706747, 5.862758093529888, 2.092075442670675, 5.862758093529888, -2.0920754426706747, -5.862758093529888, -150.26510348859472, 129.3451299983758, -2.092075442670675, -5.862758093529888, 2.0920754426706747, 5.862758093529888, 150.26510348859472, -129.3451299983758, 2.092075442670675, 5.862758093529888, -2.092075442670675, -5.862758093529888, -2.092075442670675, -5.862758093529888, -150.26510348859475, 129.3451299983758, 2.092075442670675, 5.862758093529888, 2.092075442670675, 5.862758093529888, 150.26510348859475, -129.3451299983758]",7,False,400.0
